"Experimental Condition","Seed","Number of Iterations","Expected Arrival Rate (Pairs)","Total Pairs Seen","Total Departed Pairs","Seen (Type 1)","Seen (Type 2)","Seen (Type 3)","Seen (Type 4)","Seen (Type 5)","Seen (Type 6)","Seen (Type 7)","Seen (Type 8)","Matched (Type 1)","Matched (Type 2)","Matched (Type 3)","Matched (Type 4)","Matched (Type 5)","Matched (Type 6)","Matched (Type 7)","Matched (Type 8)","Matched (Rank 1)","Matched (Rank 2)","Matched (Rank 3)","Matched (Rank 4)","Matched (Rank 5)","Matched (Rank 6)","Matched (Rank 7)","Matched (Rank 8)"
"DONOR_PATIENT_WEIGHTS","100","1825","4","6832","958","1100","414","266","112","3306","687","780","167","999","294","220","66","1856","376","417","85","1158","601","663","700","556","342","224","69"
"DONOR_PATIENT_WEIGHTS","101","1825","4","6400","950","1046","393","267","97","3050","643","761","143","926","270","212","57","1723","337","400","65","1133","545","615","588","530","298","214","67"
"DONOR_PATIENT_WEIGHTS","102","1825","4","6345","896","1029","378","229","104","3041","579","813","172","901","269","190","67","1657","299","427","85","1067","538","608","579","524","290","212","77"
"DONOR_PATIENT_WEIGHTS","103","1825","4","6353","882","993","409","225","83","3118","618","731","176","910","311","180","47","1745","291","378","88","1044","592","644","594","513","290","186","87"
"DONOR_PATIENT_WEIGHTS","104","1825","4","6664","1015","1059","396","260","88","3236","651","826","148","950","272","191","42","1741","318","414","69","1122","562","618","601","519","288","214","73"
"DONOR_PATIENT_WEIGHTS","105","1825","4","6435","932","1013","370","282","103","3091","644","762","170","907","242","222","73","1737","314","381","85","1058","557","622","591","543","314","193","83"
"DONOR_PATIENT_WEIGHTS","106","1825","4","6506","947","1099","388","266","106","3015","647","816","169","1009","298","221","65","1705","332","403","77","1167","594","628","588","553","306","209","65"
"DONOR_PATIENT_WEIGHTS","107","1825","4","6621","993","1110","406","256","119","3108","666","800","156","994","289","214","70","1677","364","383","85","1141","572","627","612","495","332","214","83"
"DONOR_PATIENT_WEIGHTS","108","1825","4","6524","1035","1062","379","240","84","3139","639","813","168","919","257","191","48","1719","307","411","86","1080","552","608","615","512","289","197","85"
"DONOR_PATIENT_WEIGHTS","109","1825","4","6568","926","1048","403","272","120","3100","682","774","169","944","325","226","79","1806","354","413","83","1116","637","684","646","577","283","208","79"
