"Experimental Condition","Seed","Number of Iterations","Expected Arrival Rate (Pairs)","Total Pairs Seen","Total Departed Pairs","Seen (Type 1)","Seen (Type 2)","Seen (Type 3)","Seen (Type 4)","Seen (Type 5)","Seen (Type 6)","Seen (Type 7)","Seen (Type 8)","Matched (Type 1)","Matched (Type 2)","Matched (Type 3)","Matched (Type 4)","Matched (Type 5)","Matched (Type 6)","Matched (Type 7)","Matched (Type 8)","Matched (Rank 1)","Matched (Rank 2)","Matched (Rank 3)","Matched (Rank 4)","Matched (Rank 5)","Matched (Rank 6)","Matched (Rank 7)","Matched (Rank 8)"
"EQUAL_WEIGHTS","100","1825","4","6832","974","1096","425","270","98","3317","702","752","172","671","245","160","69","2104","423","454","116","627","390","622","728","882","445","374","174"
"EQUAL_WEIGHTS","101","1825","4","6400","964","1007","378","230","89","3111","625","794","166","587","238","127","59","1950","403","472","111","563","367","549","649","834","462","368","155"
"EQUAL_WEIGHTS","102","1825","4","6345","852","1048","340","252","98","3007","656","791","153","670","210","162","58","1861","388","498","88","631","377","567","588","825","452","346","149"
"EQUAL_WEIGHTS","103","1825","4","6353","888","1081","345","243","107","3035","652","744","146","695","215","152","67","1905","400","479","85","673","384","538","702","768","429","371","133"
"EQUAL_WEIGHTS","104","1825","4","6664","949","1084","416","288","93","3190","652","765","176","661","265","194","60","1972","413","476","121","643","399","603","663","848","447","389","170"
"EQUAL_WEIGHTS","105","1825","4","6435","907","1028","359","233","94","3173","629","747","172","643","212","135","54","1966","393","494","113","629","345","548","672","806","506","349","155"
"EQUAL_WEIGHTS","106","1825","4","6506","957","1058","364","272","89","3120","653","746","204","656","215","160","53","1954","412","456","116","633","364","561","706","796","430","368","164"
"EQUAL_WEIGHTS","107","1825","4","6621","955","1008","420","284","92","3175","634","846","162","650","258","174","56","1955","406","552","96","612","398","568","703","845","498","380","143"
"EQUAL_WEIGHTS","108","1825","4","6524","980","1037","412","268","101","3138","636","771","161","651","255","163","64","1932","384","471","103","648","377","549","681","806","434","367","161"
"EQUAL_WEIGHTS","109","1825","4","6568","960","1067","386","234","84","3235","669","731","162","656","235","152","54","2059","414","464","96","650","371","576","738","863","418","376","138"
"EQUAL_WEIGHTS","110","1825","4","6277","875","1006","393","242","89","3016","646","728","157","663","251","166","50","1890","417","438","87","607","416","567","648","787","423","367","147"
"EQUAL_WEIGHTS","111","1825","4","6166","880","985","379","224","85","2992","557","793","151","624","222","139","52","1867","356","512","88","592","360","502","683","797","415","387","124"
"EQUAL_WEIGHTS","112","1825","4","6446","914","1066","393","266","95","3037","658","753","178","671","242","194","66","1887","418","474","123","637","394","568","686","784","468","364","174"
"EQUAL_WEIGHTS","113","1825","4","6287","984","1018","369","244","83","3054","607","749","163","606","221","152","53","1857","381","446","99","573","364","556","619","786","415","357","145"
"EQUAL_WEIGHTS","114","1825","4","6501","909","1029","370","267","109","3132","637","784","173","656","229","186","67","1950","416","491","103","632","389","569","699","822","472","375","140"
"EQUAL_WEIGHTS","115","1825","4","6268","881","972","378","254","102","2987","629","808","138","613","233","172","59","1883","403","468","78","599","347","541","655","845","404","390","128"
"EQUAL_WEIGHTS","116","1825","4","6104","939","1021","353","236","97","2904","608","733","152","639","229","136","53","1794","385","453","98","607","336","537","656","762","399","350","140"
"EQUAL_WEIGHTS","117","1825","4","6337","936","1030","372","258","92","3031","640","749","165","627","234","160","51","1821","417","476","102","620","337","565","624","786","423","383","150"
"EQUAL_WEIGHTS","118","1825","4","6636","943","1060","421","251","86","3122","681","844","171","633","257","163","46","1903","418","538","106","637","359","596","644","817","478","375","158"
"EQUAL_WEIGHTS","119","1825","4","6627","944","1022","390","273","80","3280","643","781","158","627","232","184","52","2053","406","469","97","609","394","594","687","916","417","360","143"
"EQUAL_WEIGHTS","120","1825","4","6562","937","1086","389","237","86","3192","659","758","155","666","246","147","57","1972","403","455","100","655","362","572","693","810","426","391","137"
"EQUAL_WEIGHTS","121","1825","4","6701","941","1088","396","298","114","3208","644","808","145","689","255","180","72","2012","403","523","81","657","390","599","735","852","468","374","140"
"EQUAL_WEIGHTS","122","1825","4","6373","976","975","385","261","88","3108","641","750","165","613","229","163","51","1955","366","481","91","607","372","557","653","823","413","386","138"
"EQUAL_WEIGHTS","123","1825","4","6305","922","1027","374","237","99","3050","635","722","161","622","226","143","63","1896","400","442","91","599","351","540","638","814","460","339","142"
"EQUAL_WEIGHTS","124","1825","4","6559","920","1028","400","232","90","3198","633","817","161","645","255","133","54","2009","417","521","101","631","371","625","701","802","460","388","157"
"EQUAL_WEIGHTS","125","1825","4","6260","892","1006","388","291","97","2971","623","743","141","620","247","185","60","1886","393","467","89","593","387","562","681","797","421","374","132"
"EQUAL_WEIGHTS","126","1825","4","6298","932","957","360","243","109","3041","647","760","181","576","227","153","78","1904","383","460","126","546","353","540","689","795","420","384","180"
"EQUAL_WEIGHTS","127","1825","4","6341","954","1045","393","243","99","3071","605","728","157","639","245","147","61","1925","358","462","89","599","399","562","645","827","427","336","131"
"EQUAL_WEIGHTS","128","1825","4","6398","906","1024","372","259","85","3064","661","764","169","628","232","171","48","1952","421","471","100","605","381","553","679","806","461","411","127"
"EQUAL_WEIGHTS","129","1825","4","6652","979","1077","421","261","90","3136","681","792","194","694","252","175","60","1930","447","498","121","657","413","629","632","825","454","386","181"
"EQUAL_WEIGHTS","130","1825","4","6253","881","982","413","251","87","2998","602","772","148","583","278","154","49","1847","357","464","81","557","369","548","645","802","409","342","141"
"EQUAL_WEIGHTS","131","1825","4","6467","931","1021","356","269","95","3135","638","774","179","661","224","174","60","1917","401","473","118","645","379","551","683","809","429","390","142"
"EQUAL_WEIGHTS","132","1825","4","6261","937","1065","372","255","92","2973","641","720","143","657","233","164","53","1790","372","424","86","615","381","537","605","760","408","333","140"
"EQUAL_WEIGHTS","133","1825","4","6265","864","997","383","238","98","2995","601","793","160","635","239","152","56","1917","392","504","97","617","362","603","633","827","425","382","143"
"EQUAL_WEIGHTS","134","1825","4","6501","992","1032","387","262","96","3154","660","756","154","618","248","154","66","1916","403","477","95","594","382","576","666","794","451","363","151"
"EQUAL_WEIGHTS","135","1825","4","6504","918","1004","399","250","105","3174","624","785","163","640","250","157","65","1988","402","503","95","623","363","611","658","872","471","352","150"
"EQUAL_WEIGHTS","136","1825","4","6683","971","1048","415","242","109","3246","671","778","174","675","257","139","65","1994","433","467","111","614","398","582","693","859","416","417","162"
"EQUAL_WEIGHTS","137","1825","4","6320","913","1019","341","267","111","3024","633","786","139","639","218","168","71","1931","406","496","94","607","374","557","667","840","474","354","150"
