"Experimental Condition","Seed","Number of Iterations","Expected Arrival Rate (Pairs)","Total Pairs Seen","Total Departed Pairs","Seen (Type 1)","Seen (Type 2)","Seen (Type 3)","Seen (Type 4)","Seen (Type 5)","Seen (Type 6)","Seen (Type 7)","Seen (Type 8)","Matched (Type 1)","Matched (Type 2)","Matched (Type 3)","Matched (Type 4)","Matched (Type 5)","Matched (Type 6)","Matched (Type 7)","Matched (Type 8)","Matched (Rank 1)","Matched (Rank 2)","Matched (Rank 3)","Matched (Rank 4)","Matched (Rank 5)","Matched (Rank 6)","Matched (Rank 7)","Matched (Rank 8)"
"PATIENT_WEIGHTS","100","1825","4","6832","1007","1069","408","275","116","3253","747","795","169","1023","336","257","63","1702","353","389","87","936","484","617","571","746","403","324","129"
"PATIENT_WEIGHTS","101","1825","4","6400","941","1034","381","246","85","3065","647","772","170","978","305","217","44","1614","351","384","95","882","506","511","593","675","387","302","132"
"PATIENT_WEIGHTS","102","1825","4","6345","826","1034","351","261","103","3033","671","744","148","989","274","233","45","1673","354","365","76","904","445","511","604","707","382","329","127"
"PATIENT_WEIGHTS","103","1825","4","6353","925","1028","380","253","110","3099","581","763","139","992","296","237","46","1619","276","384","73","874","456","560","575","718","342","276","122"
"PATIENT_WEIGHTS","104","1825","4","6664","936","1067","369","295","91","3198","683","794","167","1029","300","272","37","1705","334","400","71","956","447","587","624","709","367","330","128"
"PATIENT_WEIGHTS","105","1825","4","6435","899","1018","414","234","89","3082","655","777","166","980","329","221","49","1667","313","383","82","895","445","548","625","710","363","316","122"
"PATIENT_WEIGHTS","106","1825","4","6506","946","1104","411","231","109","3144","615","729","163","1059","348","213","49","1647","299","360","64","995","477","556","605","681","350","281","94"
"PATIENT_WEIGHTS","107","1825","4","6621","967","1044","409","251","68","3198","671","846","134","986","339","227","39","1698","321","406","62","903","452","588","594","735","380","333","93"
"PATIENT_WEIGHTS","108","1825","4","6524","990","1034","378","251","91","3131","679","800","160","986","283","213","47","1653","339","391","82","912","422","554","566","696","397","311","136"
"PATIENT_WEIGHTS","109","1825","4","6568","930","1083","387","234","103","3168","662","775","156","1044","320","218","46","1796","336","378","72","932","476","591","611","780","384","320","116"
"PATIENT_WEIGHTS","110","1825","4","6277","946","979","340","288","101","3018","642","752","157","932","279","257","43","1549","304","345","69","848","455","538","519","670","353","284","111"
"PATIENT_WEIGHTS","111","1825","4","6166","948","981","370","242","106","2917","622","771","157","940","289","212","50","1530","308","364","72","852","417","545","532","672","353","284","110"
"PATIENT_WEIGHTS","112","1825","4","6446","948","1022","368","250","110","3143","616","759","178","979","316","229","55","1672","309","376","87","877","473","561","641","685","365","300","121"
"PATIENT_WEIGHTS","113","1825","4","6287","950","953","423","275","89","3028","620","733","166","919","350","253","52","1574","310","371","75","853","450","586","530","702","365","297","121"
"PATIENT_WEIGHTS","114","1825","4","6501","960","1028","379","235","118","3150","629","797","165","980","306","218","62","1658","303","377","81","908","435","542","593","704","350","327","126"
"PATIENT_WEIGHTS","115","1825","4","6268","901","1019","390","273","100","2929","638","770","149","971","311","250","54","1574","294","378","77","904","430","533","563","715","345","313","106"
"PATIENT_WEIGHTS","116","1825","4","6104","976","918","358","257","105","2940","630","746","150","879","272","231","52","1527","313","367","70","804","452","475","585","671","334","287","103"
"PATIENT_WEIGHTS","117","1825","4","6337","935","1052","394","267","90","3007","618","746","163","1003","302","241","48","1577","301","364","78","916","425","543","570","715","320","302","123"
"PATIENT_WEIGHTS","118","1825","4","6636","937","1033","416","280","99","3208","639","774","187","981","333","253","48","1662","318","390","80","882","499","551","636","668","403","310","116"
"PATIENT_WEIGHTS","119","1825","4","6627","936","1067","383","270","101","3205","659","784","158","1025","317","238","54","1732","318","383","79","942","455","617","627","710","364","318","113"
"PATIENT_WEIGHTS","120","1825","4","6562","967","1026","406","231","122","3124","641","834","178","985","311","210","65","1647","320","400","88","887","431","602","620","669","396","304","117"
"PATIENT_WEIGHTS","121","1825","4","6701","928","1084","419","262","101","3223","659","788","165","1043","343","243","56","1728","339","404","79","979","474","609","597","736","379","335","126"
"PATIENT_WEIGHTS","122","1825","4","6373","993","1047","383","269","89","3111","605","710","159","1009","321","239","42","1561","280","356","69","924","447","537","546","681","362","274","106"
"PATIENT_WEIGHTS","123","1825","4","6305","944","1042","371","234","94","3066","585","753","160","989","317","214","46","1599","282","351","79","910","414","528","618","689","340","258","120"
